,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
3775,6.439,206,False,/vie8a3z219Zsw81eAsM58B6VFEn.jpg,10961,False,/w6mr3tvckNmlt5EMIBlsnI1YWnl.jpg,en,Behind the Mask: The Rise of Leslie Vernon,"[35, 27, 53]",Behind the Mask: The Rise of Leslie Vernon,6.5,"The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo, all the while deconstructing the conventions and archetypes of the horror genre for them.",2006-10-13
3776,15.19,988,False,/nrdnN8WqvyOt8Bnl3hgWcZD6ZyM.jpg,7516,False,/vmThYd8Kb8XthFCFn9Wqgqv2Mep.jpg,en,Smokin' Aces,"[28, 35, 80, 53, 9648]",Smokin' Aces,6.5,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.",2006-12-09
3777,10.719,400,False,/AlIgoyFkb2sdTg7VNZg5dTJzI1u.jpg,5125,False,,en,Rendition,"[18, 53]",Rendition,6.5,"When an Egyptian terrorism suspect ""disappears"" on a flight from Africa to Washington DC, his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US.",2007-09-07
3778,8.954,277,False,/e0j1zDF3ITeTbGTXFGamosCxT4z.jpg,36834,False,/3FYltaTkmrFeVquPOXbAXgYVuqZ.jpg,en,Total Eclipse,"[18, 10749]",Total Eclipse,6.5,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",1995-11-03
3779,14.662,1425,False,/cFNUTAMmhnN8cRmEZxuVBkAZl9I.jpg,9352,False,/wdAvY7CuqJmsVVXZQzKoZYFuH5H.jpg,en,EuroTrip,[35],EuroTrip,6.5,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",2004-02-20
3780,8.79,202,False,/pilhLgeUWSAT4sg8F4ISgvBHswn.jpg,290864,False,/eGC4NNWTnqe0QFDUwepSfjkzwjZ.jpg,cn,一個人的武林,"[80, 28, 53]",Kung Fu Jungle,6.5,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.",2014-10-31
3781,6.146,330,False,/geQyU7KySBoiQXVVW4nSeUDGFlh.jpg,199575,False,,en,These Final Hours,"[18, 878, 53]",These Final Hours,6.5,"What would you do on the last day on Earth?  With the end of the world only hours away, the self-absorbed James heads to the ultimate party-to-end-all-parties. On his way there, he saves the life of a young girl named Rose who is searching desperately for her missing father. This simple act sets James on a path to redemption.",2014-07-31
3782,10.498,389,False,/an1H0DPADLDlEsiUy8vE9AWqrhm.jpg,11884,False,/mlSuOa5OP7dina9EVdvQCdVtRlc.jpg,en,The Last Starfighter,"[12, 878, 28]",The Last Starfighter,6.5,A video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best Starfighters to defend their world from the attack.,1984-07-13
3783,12.118,338,False,/Mn1eql8AHHo2MTiwF7VwiHfoOu.jpg,9716,False,,en,Everyone Says I Love You,"[35, 10749]",Everyone Says I Love You,6.5,A New York girl sets her father up with a beautiful woman in a shaky marriage while her half sister gets engaged.,1996-12-06
3784,17.623,595,False,/4bzu5k5vwLKgwap6pHXlCY8nlh3.jpg,623195,False,/2ICDUsngquekHceFekbmYNkRSIF.jpg,en,Falling Inn Love,"[35, 10749]",Falling Inn Love,6.5,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",2019-09-04
